קבוצות התמחות									Specialities
				In electrical eng there are single and double specialities (We use the term cluster (מקבץ)). A double speciality is counted as two.					
									
1. רשתות מחשבים								"1. 	Computer Networks"	
	044334	COMPUTER NETWORKS AND INTERNET 1 	רשתות מחשבים ואינטרנט 1						
	46001	ENGINEERING OF DISTRIBUTED SOFTWARE SYS 	תכן וניתוח אלגוריתמים						
	46002	DESIGN AND ANALYSIS OF ALGORITHMS 	רשתות מחשבים ואינטרנט 2						
	46005	COMPUTER NETWORKS AND INTERNET 2 	למידה ותכנון במערכות דינמיות						
	46194	LEARNING AND PLANING IN DYNAMIC PROG. 	 שיטות חישוביות באופטימיזציה						
	או  OR		OR						
	236330	INTRODUCTION TO OPTIMIZATION 	מבוא לאופטימיזציה						
	או  OR		OR						
	104193	OPTIMIZATION THEORY 	תורת האופטימיזציה						
	046209,234123		מבנה מערכות הפעלה או 234123 מערכות הפעלה						
	046272	DISTRIBUTED SYSTEM PRINCIPLES 	מערכות מבוזרות : עקרונות						
	046273	DISTRIBUTED FUNCTIONAL PROGRAMMING 	תכנות פונקציונלי מבוזר						
	046336     	HIGH-SPEED NETWORK PROCESSORS 	מעבדי רשת מהירים						
	046925	DESIGN TOOLS FOR COMPUTER SYSTEMS 	כלים לניתוח מערכות מחשבים						
	046952	DISTRIBUTED ALGORITHMS IN COMM. NETWORKS 	אלגוריתמים מבוזרים ושימושיהם ברשתות תקשורת						
	046993	HIGH-SPEED NETWORKS 	רשתות מהירות						
המקצוע המחייב: 044334 								Mandatory  044334	
נדרשים 3 מקצועות להשלמת הקבוצה.							3 courses are required to complete the speciality		
									
2. בקרה ורובוטיקה								2. Control Systems and Robotics	
	044191	CONTROL SYSTEMS 1 	מערכות בקרה 1						
	044192	CONTROL SYSTEMS 2 	מערכות בקרה 2						
	044139	DC-DC CONVERTERS 	ממירי מתח ממותגים						
	044193	LINEAR CONTROL LABORATORY. 	מעבדה לבקרה לינארית						
	046042	INT. TO POWER SYSTEMS   SMART GRIDS 	מבוא למערכות הספק ורשת חכמה						
	044198	INTRO. TO DIGITAL SIGNAL PROCESSING 	מבוא לעיבוד ספרתי של אותות						
	046194	LEARNING AND PLANING IN DYNAMIC PROG. 	למידה ותכנון במערכות דינמיות						
	046195	MACHINE LEARNING 	מערכות לומדות						
	046196	NONLINEAR CONTROL SYSTEMS 	בקרה לא לינארית						
	046197	COMPUTATIONAL METHODS 	שיטות חישוביות באופטימיזציה						
			או       OR						
	236330	INTRODUCTION TO OPTIMIZATION 	מבוא לאופטימיזציה						
			או       OR						
	104193	OPTIMIZATION THEORY 	תורת האופטימיזציה						
